idR;nomPlat;idM
1;Raclette Masterclass GT-3000;1
2;Soirée Raclette Alpin;2
3;Tenders Raclette Combo;3
4;Grillade du Chevalier;4
5;Raclette Sacrée Meuleuse;5
6;Soirée Duo Fromage;6
7;Raclette de Table Basique;7
8;Festin Old School;8
9;Grillade Camping Tenders;9
10;Raclette Solo Étudiant;10
11;Mini Raclette V3-Elite;11
12;Super Chicken Tradition;12
13;Tenders Suprême Familial;13
14;Menu Enfant Prestige;14
15;Tacos Poulet XXL;15
16;Tacos Poulet XL Basique;16
17;Tacos Poulet Large;17
18;Menu du Peuple Old School;18
19;Menu Grill Camping;19
20;Pack Tenders Étudiant;20
21;Raclette Pro V3-Elite;21
22;Bucket Tenders Tradition;22
23;Finger Food Combo Tenrac;23
24;Crunchy Deluxe Prestige;24
25;Crispy Lover Dignité;25
26;Crousti Familial Eco;26
27;Gourmet Croustillant Basique;27
28;Menu Doré du Chef Old School;28
29;Inferno Tenders Camping;29
30;Tenders Infini Solo;30
31;XXL Hot Tenders GT-3000;31
32;Tenders Challenge V3-Elite;32
33;Grill Ultime Combo;33
34;Canette Rafraîchissante;34
35;Bouteille du Tenrac;35
36;Pack Premium Prestige;36
37;Festin Gourmet V3-Elite;37
38;Golden Chicken GT-3000;38
39;Raclette Suisse Tradition;39
40;Grillade Nomade Camping;40
41;Pierrade Royale Prestige;41
42;Frites Sacrées GT-3000;42
43;Fondue Alpine Combo;43
44;Grillade Électrique Pro;44
45;Raclette 8 Poêlons Prestige;45
46;Mini Frites Eco Tenrac;46
47;Raclette Connectée V3-Elite;47
48;Grillade Panoramique GT-3000;48
49;Crêpes Sacrées Basique;49
50;Station 6 Saveurs Combo;50
51;Raclette Vintage Old School;51
52;Pierrade Compacte Solo;52
53;Grillade Contact Pro Dignité;53
54;Festin Salamandre GT-3000;54
55;Raclette Duo Eco;55
56;Barbecue Tenrac Camping;56
57;Wok des Maîtres Combo;57
58;Frites Air V3-Elite;58
59;Raclette Solaire Tradition;59
60;Teppanyaki Tenrac GT-3000;60
61;Churros Sucrés Basique;61
62;Grillade Infrarouge Prestige;62
63;Mini Fondue Solo;63
64;Raclette Bois Old School;64
65;Grillade Planchiste Dignité;65
66;Takoyaki Tenrac Combo;66
67;Burger Pro GT-3000;67
68;Raclette Camping Douce;68
69;Grillade Induction V3-Elite;69
70;Gaufres Salées Basique;70
71;Frites Professionnelles GT-3000;71
72;Raclette Silencieuse Eco;72
73;Grillade Multizone Prestige;73
74;Yakitori Tradition Tenrac;74
75;Croque Fromage Solo;75
76;Raclette Grand Format V3-Elite;76
77;Grillade Smokeless GT-3000;77
78;Hibachi Festif Combo;78
79;Plancha Tenrac Dignité;79
80;Raclette Bluetooth V3-Elite;80
81;Grillade Compacte Basique;81
82;Shabu-Shabu Tenrac Combo;82
83;Frites Double Bac GT-3000;83
84;Raclette Ardoise Old School;84
85;Grillade Solaire Eco;85
86;Fondue Bourguignonne Tradition;86
87;Festin Rôtisserie Prestige;87
88;Mini Grill Tenrac Solo;88
89;Raclette Nomade Camping;89
90;Grillade Verticale V3-Elite;90
91;Hot Pot Tenrac Combo;91
92;Frites Sans Huile GT-3000;92
93;Raclette Inox Dignité;93
94;Grillade Électronique Prestige;94
95;Vapeur Tenrac V3-Elite;95
96;Croque Sandwich Basique;96
97;Raclette Luxe GT-3000;97
98;Grillade Panoramique Pro;98
99;Festin Station Ultime V3-Elite;99
100;Grand Festin des Maîtres GT-3000;100
